OBJECTID_12,TR,CNTY_NUM,TIER,RANGE,CNTY_NAME,Tests2015,Test2016,Test2017,Test2018,Test2019,TestTotal,Pos2015,Pos2016,Pos2017,Pos2018,Pos2019,PosTotal,SHAPE_Length,SHAPE_Area
428,"T12N,R08W",59,12N,08W,MONTCALM,,,570,258,125,953,,,2,1,,3,0.412128245251193,0.0103654983880488
430,"T12N,R09W",59,12N,09W,MONTCALM,,,355,182,78,615,,,2,1,,3,0.412931861891782,0.010418343430375
431,"T12N,R10W",59,12N,10W,MONTCALM,,,172,67,29,268,,,2,,,2,0.413623674592608,0.0103990645685009
432,"T11N,R05W",59,11N,05W,MONTCALM,2,6,91,347,159,605,,,1,,,1,0.412853813894027,0.0103692622676741
433,"T11N,R06W",59,11N,06W,MONTCALM,,1,77,237,132,447,,,,5,5,10,0.412868558376765,0.0103837458782511
434,"T11N,R08W",59,11N,08W,MONTCALM,1,,296,182,73,552,,,4,5,1,10,0.41246910774591,0.0103691020126434
435,"T11N,R07W",59,11N,07W,MONTCALM,,,402,330,181,913,,,1,4,1,6,0.412344159495851,0.0103560569505594
436,"T11N,R09W",59,11N,09W,MONTCALM,,,215,133,72,420,,,7,4,7,18,0.412735373279354,0.0103716317529607
437,"T11N,R10W",59,11N,10W,MONTCALM,,2,65,126,70,263,,,,5,9,14,0.413123923078028,0.010401418968119
439,"T10N,R06W",59,10N,06W,MONTCALM,1,1,115,165,77,359,,,,4,3,7,0.409903634188957,0.0102399080288508
440,"T10N,R07W",59,10N,07W,MONTCALM,2,3,339,264,135,743,,,8,7,1,16,0.409776415109426,0.0102622991633776
441,"T10N,R08W",59,10N,08W,MONTCALM,,15,293,211,117,636,,,5,3,5,13,0.414128359381243,0.0104473411522141
444,"T09N,R07W",59,09N,07W,MONTCALM,1,1,159,166,102,429,,,3,5,3,11,0.411214405923748,0.0103200937391471
445,"T09N,R08W",59,09N,08W,MONTCALM,,1,134,114,61,310,,,,1,1,2,0.413028963426404,0.0103701903992528
751,"T10N,R09W",41,10N,09W,KENT,,,187,144,113,444,,,9,5,10,24,0.41497656376569,0.010516697392371
752,"T10N,R10W",41,10N,10W,KENT,,1,51,115,84,251,,,,2,3,5,0.416359346747931,0.0105924740234099
755,"T09N,R09W",41,09N,09W,KENT,,,105,96,54,255,,,1,1,,2,0.413312077872563,0.0104389336133287
756,"T09N,R10W",41,09N,10W,KENT,,1,26,100,57,184,,,,1,3,4,0.415443666287193,0.01054882856824
760,"T08N,R10W",41,08N,10W,KENT,,2,12,96,45,155,,,,,1,1,0.418894677832352,0.0107110673322468
819,"T03S,R01W",38,03S,01W,JACKSON,1,,1,87,248,337,,,,,2,2,0.408719578000813,0.0102230979280499
820,"T03S,R02W",38,03S,02W,JACKSON,1,,5,164,154,324,,,,2,3,5,0.405907325307622,0.01008677250692
824,"T04S,R01W",38,04S,01W,JACKSON,1,1,2,96,163,263,,,,,1,1,0.405462644170036,0.010046786585697
825,"T04S,R02W",38,04S,02W,JACKSON,,,2,118,113,233,,,,,1,1,0.405200535323797,0.0101006729489999
901,"T08N,R06W",34,08N,06W,IONIA,4,19,43,207,68,341,,,,,1,1,0.413093255729892,0.0104160092597189
902,"T08N,R07W",34,08N,07W,IONIA,,9,59,143,57,268,,,,1,,1,0.412523725147242,0.0103829120647418
907,"T07N,R08W",34,07N,08W,IONIA,2,34,48,159,77,320,,,,,1,1,0.410928000080112,0.0102586808772244
910,"T06N,R07W",34,06N,07W,IONIA,,6,14,79,78,177,,,,1,,1,0.411368951297579,0.0102961280772503
918,"T04N,R01W",33,04N,01W,INGHAM,724,648,580,382,131,2465,3,2,,,,5,0.413927558036489,0.0104413890251824
1000,"T12N,R03W",29,12N,03W,GRATIOT,1,,4,48,54,107,,,,1,,1,0.412953594563821,0.0104034173892117
1006,"T10N,R01W",29,10N,01W,GRATIOT,1,4,8,143,119,275,,,,,1,1,0.404118512007362,0.0100126343667275
1007,"T10N,R02W",29,10N,02W,GRATIOT,1,,5,67,115,188,,,,,2,2,0.407979969225676,0.0101700698974148
1120,"T02N,R05W",23,02N,05W,EATON,7,10,8,41,50,116,,,,1,,1,0.41299640669367,0.0104164079945584
1149,"T39N,R28W",22,39N,28W,DICKINSON,,33,84,156,162,435,,,,1,,1,0.419460112375709,0.0106809271057922
1219,"T05N,R02W",19,05N,02W,CLINTON,180,275,247,119,93,914,1,,,,,1,0.41152162410939,0.0103396457524264
1220,"T05N,R03W",19,05N,03W,CLINTON,70,388,329,150,93,1030,1,1,,1,,3,0.408052086827455,0.0101763330833035
1221,"T05N,R04W",19,05N,04W,CLINTON,16,247,290,148,75,776,,1,,,,1,0.407994071443703,0.0101773964350396
